alpha,level,metric,mean,std
0.35,major,empty_rate,0.2664802527646124,0.0060011815387391
0.35,major,singleton_rate,0.7335197472353867,0.0060011815387392
0.35,major,top1_acc_non_empty,0.9047057564268738,0.0021270094598853
0.35,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.35,major,hir,,
0.35,leaf,coverage,0.6471437598736174,0.0050269105682239
0.35,leaf,set_size_mean,0.7335197472353867,0.0060011815387392
0.35,leaf,set_size_median,1.0,0.0
0.35,leaf,empty_rate,0.2664802527646124,0.0060011815387391
0.35,leaf,singleton_rate,0.7335197472353867,0.0060011815387392
0.35,leaf,top1_acc_non_empty,0.8822504033490202,0.002348395228849
0.35,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.35,leaf,hir,,
0.4,family,coverage,0.6251469194312792,0.0079005504921033
0.4,family,set_size_mean,0.6347109004739333,0.0081713989715116
0.4,family,set_size_median,1.0,0.0
0.4,family,empty_rate,0.3652890995260659,0.0081713989715115
0.4,family,singleton_rate,0.6347109004739333,0.0081713989715116
0.4,family,top1_acc_non_empty,0.9849355448086338,0.0013650192611699
0.4,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.4,family,hir,0.0,0.0
0.4,major,coverage,0.6054502369668243,0.0059518006735776
0.4,major,set_size_mean,0.6347109004739333,0.0081713989715116
0.4,major,set_size_median,1.0,0.0
0.4,major,empty_rate,0.3652890995260659,0.0081713989715115
0.4,major,singleton_rate,0.6347109004739333,0.0081713989715116
0.4,major,top1_acc_non_empty,0.9539370041402816,0.0032674588049415
0.4,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.4,major,hir,,
0.4,leaf,coverage,0.5973712480252761,0.0059177736792544
0.4,leaf,set_size_mean,0.6347109004739333,0.0081713989715116
0.4,leaf,set_size_median,1.0,0.0
0.4,leaf,empty_rate,0.3652890995260659,0.0081713989715115
0.4,leaf,singleton_rate,0.6347109004739333,0.0081713989715116
0.4,leaf,top1_acc_non_empty,0.94120776226878,0.0033890563642003
0.4,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.4,leaf,hir,,
0.45,family,coverage,0.5552606635071087,0.0072162723921543
0.45,family,set_size_mean,0.559630331753554,0.0073382773361501
0.45,family,set_size_median,1.0,0.0
0.45,family,empty_rate,0.4403696682464451,0.0073382773361501
0.45,family,singleton_rate,0.559630331753554,0.0073382773361501
0.45,family,top1_acc_non_empty,0.9921936542174556,0.0008032748742586
0.45,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.45,family,hir,0.0,0.0
0.45,major,coverage,0.5497061611374404,0.0067658721996992
0.45,major,set_size_mean,0.559630331753554,0.0073382773361501
0.45,major,set_size_median,1.0,0.0
0.45,major,empty_rate,0.4403696682464451,0.0073382773361501
0.45,major,singleton_rate,0.559630331753554,0.0073382773361501
0.45,major,top1_acc_non_empty,0.9822776687248348,0.0015432784421694
0.45,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.45,major,hir,,
0.45,leaf,coverage,0.5479020537124799,0.0067359602920898
0.45,leaf,set_size_mean,0.559630331753554,0.0073382773361501
0.45,leaf,set_size_median,1.0,0.0
0.45,leaf,empty_rate,0.4403696682464451,0.0073382773361501
0.45,leaf,singleton_rate,0.559630331753554,0.0073382773361501
0.45,leaf,top1_acc_non_empty,0.979054105720398,0.00158248715257
0.45,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.45,leaf,hir,,
0.5,family,coverage,0.5016050552922586,0.0069433552732468
0.5,family,set_size_mean,0.5041611374407577,0.0069035010610025
0.5,family,set_size_median,0.76,0.4194262358829486
0.5,family,empty_rate,0.4958388625592412,0.0069035010610025
0.5,family,singleton_rate,0.5041611374407577,0.0069035010610025
0.5,family,top1_acc_non_empty,0.9949283400590544,0.0008456807398455
0.5,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.5,family,hir,0.0,0.0
0.5,major,coverage,0.4989668246445494,0.0067682393040037
0.5,major,set_size_mean,0.5041611374407577,0.0069035010610025
0.5,major,set_size_median,0.76,0.4194262358829486
0.5,major,empty_rate,0.4958388625592412,0.0069035010610025
0.5,major,singleton_rate,0.5041611374407577,0.0069035010610025
0.5,major,top1_acc_non_empty,0.989699326203412,0.0010510584289934
